dataset,zs,oracle,best oracle,accum,best accum,best oracle - zs
nz_nz_EFH_HCAMB02,0.82,0.79,0.90,,,0.08
nz_nz_EFH_HCAMC03,0.85,0.90,0.93,,,0.08
nz_nz_EFH_HCAMF01,0.86,0.93,0.94,,,0.08
nz_nz_EFH_HCAMF12,0.89,0.92,0.97,,,0.08
nz_nz_EFH_HCAMH06,0.83,0.95,0.91,0.69,,0.08
nz_nz_PS1_CAM7709,0.84,0.99,0.92,0.59,0.79,0.08
serengeti_serengeti_C02,0.78,0.83,0.86,,,0.08
serengeti_serengeti_F01,0.84,0.83,0.92,,,0.08
serengeti_serengeti_H11,0.80,0.87,0.88,0.74,0.85,0.08
serengeti_serengeti_J02,0.74,0.84,0.82,0.75,0.83,0.08
serengeti_serengeti_K04,0.81,0.90,0.89,,,0.08
serengeti_serengeti_O04,0.72,0.81,0.80,0.61,0.77,0.08
serengeti_serengeti_O08,0.74,0.82,0.82,0.65,,0.08
serengeti_serengeti_O09,0.72,0.79,0.80,0.66,0.77,0.08
serengeti_serengeti_P13,0.80,0.77,0.88,,,0.08
serengeti_serengeti_Q10,0.76,0.76,0.84,0.57,0.77,0.08
serengeti_serengeti_R05,0.81,0.81,0.89,,,0.08
serengeti_serengeti_T11,0.74,0.83,0.82,,,0.08
serengeti_serengeti_U12,0.79,0.85,0.87,0.73,0.83,0.08
KRU_KRU_7,0.84,0.90,0.93,0.81,,0.09
MAD_MAD_F04,0.86,0.79,0.95,,,0.09
na_na_lebec_CA-20,0.85,0.97,0.94,0.86,0.89,0.09
nz_nz_EFD_DCAME01,0.78,0.93,0.87,0.69,0.81,0.09
nz_nz_EFD_DCAMH09,0.87,0.91,0.96,,,0.09
nz_nz_EFH_HCAMA06,0.75,0.92,0.84,0.73,0.72,0.09
nz_nz_EFH_HCAMD06,0.81,0.82,0.90,0.71,,0.09
nz_nz_EFH_HCAME07,0.83,0.87,0.92,0.76,0.84,0.09
orinoquia_orinoquia_N25,0.71,0.78,0.80,0.49,0.66,0.09
serengeti_serengeti_B03,0.82,0.91,0.91,0.74,0.88,0.09
serengeti_serengeti_D02,0.82,0.84,0.91,,,0.09
serengeti_serengeti_E02,0.76,0.84,0.85,,,0.09
serengeti_serengeti_F10,0.63,0.79,0.72,,,0.09
serengeti_serengeti_G07,0.74,0.83,0.83,0.67,,0.09
serengeti_serengeti_I13,0.74,0.82,0.83,0.69,,0.09
serengeti_serengeti_L06,0.70,0.82,0.79,0.66,0.80,0.09
wellington_wellington_046c,0.79,0.74,0.88,,,0.09
ENO_ENO_B06,0.86,0.86,0.96,,,0.10
ENO_ENO_C02,0.81,0.94,0.91,0.73,0.88,0.10
ENO_ENO_E06,0.84,0.79,0.94,,,0.10
KGA_KGA_KHOGC05,0.77,0.84,0.87,0.74,0.78,0.10
nz_nz_EFD_DCAMA02,0.81,0.90,0.91,0.81,,0.10
nz_nz_EFH_HCAME02,0.80,0.85,0.90,0.61,,0.10
nz_nz_EFH_HCAMF04,0.76,0.94,0.86,0.68,0.85,0.10
serengeti_serengeti_B05,0.66,0.76,0.76,0.66,,0.10
serengeti_serengeti_D11,0.73,0.85,0.83,0.65,,0.10
serengeti_serengeti_F09,0.75,0.83,0.85,0.61,,0.10
serengeti_serengeti_G03,0.75,0.76,0.85,0.75,,0.10
serengeti_serengeti_H05,0.71,0.85,0.81,,,0.10
serengeti_serengeti_K08,0.72,0.89,0.82,0.79,0.88,0.10
KAR_KAR_B03,0.72,0.87,0.83,0.70,0.74,0.11
nz_nz_EFD_DCAMB03,0.84,0.93,0.95,0.80,,0.11
nz_nz_EFD_DCAMC07,0.78,0.92,0.89,,0.85,0.11
nz_nz_EFH_HCAMA10,0.75,0.96,0.86,0.77,0.85,0.11
nz_nz_EFH_HCAMD07,0.80,0.95,0.91,0.74,0.88,0.11
nz_nz_EFH_HCAMD08,0.76,0.87,0.87,0.68,,0.11
serengeti_serengeti_E01,0.81,0.87,0.92,0.75,0.87,0.11
serengeti_serengeti_I02,0.73,0.81,0.84,0.75,,0.11
serengeti_serengeti_I11,0.82,0.92,0.93,0.77,0.90,0.11
KAR_KAR_F03,0.80,0.75,0.92,,,0.12
nz_nz_EFD_DCAME09,0.80,0.90,0.92,0.70,,0.12
nz_nz_EFH_HCAMA12,0.74,0.76,0.86,0.76,,0.12
nz_nz_EFH_HCAMH07,0.86,0.85,0.98,,,0.12
serengeti_serengeti_E03,0.81,0.90,0.93,,,0.12
serengeti_serengeti_E09,0.64,0.81,0.76,0.57,0.70,0.12
serengeti_serengeti_H13,0.70,0.75,0.82,0.58,,0.12
serengeti_serengeti_I01,0.76,0.86,0.88,0.83,0.83,0.12
serengeti_serengeti_L11,0.79,0.87,0.91,0.63,,0.12
serengeti_serengeti_N04,0.76,0.82,0.88,0.74,0.84,0.12
serengeti_serengeti_T10,0.78,0.83,0.90,,,0.12
wellington_wellington_235,0.83,0.93,0.95,0.79,,0.12
MAD_MAD_A05,0.78,0.97,0.91,0.74,0.88,0.13
MAD_MAD_D03,0.79,0.97,0.92,0.78,0.89,0.13
na_na_lebec_CA-16,0.83,0.84,0.96,0.75,0.87,0.13
nz_nz_EFH_HCAMC08,0.74,0.83,0.87,0.62,,0.13
nz_nz_EFH_HCAME09,0.79,0.81,0.92,0.76,,0.13
nz_nz_EFH_HCAMF02,0.75,0.95,0.88,0.74,,0.13
nz_nz_EFH_HCAMH08,0.79,0.78,0.92,,,0.13
nz_nz_EFH_HCAMH09,0.77,0.82,0.90,0.46,0.88,0.13
nz_nz_EFH_HCAMJ06,0.78,0.89,0.91,0.80,,0.13
nz_nz_HLO_HPAT003,0.80,0.87,0.93,0.67,,0.13
nz_nz_PS1_CAM7312,0.85,0.82,0.98,,,0.13
serengeti_serengeti_B10,0.67,0.82,0.80,0.67,0.77,0.13
serengeti_serengeti_F06,0.78,0.82,0.91,0.79,,0.13
APN_APN_K041,0.83,0.84,0.97,0.79,,0.14
ENO_ENO_D06,0.84,0.87,0.98,,0.91,0.14
nz_nz_EFH_HCAMC02,0.71,0.89,0.85,0.77,0.80,0.14
nz_nz_EFH_HCAME08,0.78,0.92,0.92,0.73,0.85,0.14
nz_nz_EFH_HCAMA07,0.79,0.91,0.94,,,0.15
nz_nz_EFH_HCAMB05,0.65,0.91,0.80,0.67,0.76,0.15
nz_nz_EFH_HCAMB07,0.71,0.95,0.86,0.61,0.72,0.15
orinoquia_orinoquia_N04,0.74,0.98,0.89,0.59,0.70,0.15
serengeti_serengeti_E04,0.68,0.79,0.83,,,0.15
serengeti_serengeti_P10,0.68,0.81,0.83,,,0.15
KGA_KGA_KHOGA04,0.71,0.87,0.87,0.74,0.81,0.16
serengeti_serengeti_I07,0.75,0.87,0.91,0.74,,0.16
serengeti_serengeti_S07,0.75,0.87,0.91,0.72,,0.16
nz_nz_EFH_HCAMA02,0.70,0.88,0.87,0.63,,0.17
nz_nz_EFH_HCAMC04,0.70,0.90,0.87,0.78,0.76,0.17
nz_nz_EFH_HCAMH02,0.68,0.94,0.85,0.57,0.74,0.17
serengeti_serengeti_C08,0.67,0.85,0.84,0.75,0.78,0.17
KGA_KGA_KHOLA05,0.76,0.88,0.94,,,0.18
nz_nz_EFH_HCAMB11,0.76,0.83,0.94,0.67,,0.18
nz_nz_EFH_HCAMH03,0.66,0.83,0.84,0.54,0.77,0.18
nz_nz_EFD_DCAMC04,0.70,0.98,0.90,0.63,0.87,0.20
nz_nz_EFH_HCAMC07,0.60,0.84,0.80,0.67,0.76,0.20
orinoquia_orinoquia_N29,0.59,0.82,0.79,0.65,0.70,0.20
nz_nz_EFD_DCAMB04,0.72,0.90,0.93,0.63,0.83,0.21
nz_nz_EFH_HCAMB04,0.70,0.84,0.91,0.76,0.81,0.21
nz_nz_EFH_HCAMA09,0.63,0.86,0.85,0.68,,0.22
nz_nz_EFH_HCAMB10,0.58,0.90,0.81,0.69,0.76,0.23
KGA_KGA_KHOLA08,0.67,0.93,0.91,0.81,0.86,0.24
nz_nz_EFD_DCAMC05,0.67,0.95,0.92,0.74,,0.25
nz_nz_EFH_HCAMC06,0.66,0.95,0.91,0.62,0.66,0.25
nz_nz_EFH_HCAMD05,0.62,0.92,0.87,0.64,,0.25
nz_nz_EFH_HCAMD10,0.64,0.89,0.90,0.72,,0.26
KGA_KGA_KHOLA03,0.63,0.95,0.90,0.61,0.75,0.27
nz_nz_EFH_HCAMD03,0.57,0.85,0.85,0.60,0.69,0.28
nz_nz_EFH_HCAMH04,0.62,0.93,0.90,0.58,0.72,0.28
CDB_CDB_B04,0.62,0.91,0.94,0.84,,0.32
nz_nz_EFH_HCAMC01,0.56,0.72,0.90,0.68,0.77,0.34
nz_nz_PS1_CAM6213,0.61,0.91,0.97,0.79,0.88,0.36
nz_nz_EFD_DCAMB02,0.56,0.98,0.93,0.72,0.76,0.37
