dataset,zs,oracle,best oracle,accum,best accum,best oracle - zs
nz_nz_EFH_HCAMI01,0.82,0.94,0.82,0.50,0.70,0.00
nz_nz_PS1_CAM8001,0.94,0.90,0.94,,,0.00
nz_nz_ZIO_TRAILCAM01,0.94,0.86,0.94,,,0.00
RUA_RUA_M2,0.98,0.45,0.98,0.85,0.97,0.00
serengeti_serengeti_C01,0.88,0.89,0.88,,,0.00
serengeti_serengeti_E08,0.70,0.65,0.70,0.57,0.56,0.00
serengeti_serengeti_L08,0.82,0.84,0.82,0.78,,0.00
serengeti_serengeti_L09,0.69,0.73,0.69,0.60,0.68,0.00
serengeti_serengeti_N06,0.84,0.84,0.84,,,0.00
serengeti_serengeti_O11,0.87,0.84,0.87,,,0.00
serengeti_serengeti_U09,0.79,0.78,0.79,,,0.00
APN_APN_JJ5,0.97,0.98,0.98,,,0.01
APN_APN_JJP,0.96,0.96,0.97,,,0.01
APN_APN_K044,0.95,0.85,0.96,,,0.01
APN_APN_K082,0.98,0.89,0.99,0.74,0.99,0.01
APN_APN_N3,0.99,0.89,1.00,,,0.01
APN_APN_N5,0.96,0.88,0.97,,,0.01
APN_APN_RM4,0.87,0.86,0.88,,,0.01
APN_APN_TB26,0.97,0.92,0.98,,,0.01
APN_APN_U64C,0.94,0.89,0.95,0.84,0.93,0.01
APN_APN_UMH9,0.96,0.86,0.97,,,0.01
APN_APN_WM,0.97,0.98,0.98,,0.97,0.01
caltech_caltech_106,0.94,0.93,0.95,,,0.01
caltech_caltech_115,0.93,0.91,0.94,,,0.01
caltech_caltech_33,0.91,0.91,0.92,,,0.01
caltech_caltech_70,0.97,0.75,0.98,,0.98,0.01
CDB_CDB_B06,0.91,0.97,0.92,,,0.01
CDB_CDB_C07,0.92,0.91,0.93,,,0.01
CDB_CDB_D02,0.89,0.91,0.90,,,0.01
CDB_CDB_D04,0.91,0.92,0.92,,,0.01
ENO_ENO_B02,0.94,0.84,0.95,,0.90,0.01
idaho_idaho_105,0.94,0.95,0.95,,0.94,0.01
idaho_idaho_124,0.97,0.90,0.98,,,0.01
idaho_idaho_94,0.93,0.76,0.94,,,0.01
KAR_KAR_A02,0.90,0.74,0.91,,,0.01
KAR_KAR_D04,0.95,0.79,0.96,,,0.01
KAR_KAR_E01,0.94,0.74,0.95,,,0.01
MAD_MAD_B06,0.91,0.94,0.92,,0.90,0.01
MAD_MAD_F03,0.89,0.36,0.90,,,0.01
MAD_MAD_I05,0.90,0.81,0.91,,,0.01
MAD_MAD_MAD04,0.79,0.81,0.80,,,0.01
MTZ_MTZ_B04,0.98,0.71,0.99,,,0.01
MTZ_MTZ_F05,0.95,0.78,0.96,,,0.01
na_na_archbold_FL-04,0.87,0.95,0.88,,,0.01
na_na_lebec_CA-01,0.93,0.79,0.94,,,0.01
na_na_lebec_CA-05,0.96,0.93,0.97,,,0.01
na_na_lebec_CA-29,0.93,0.96,0.94,,,0.01
nz_nz_EFD_DCAMD08,0.94,0.93,0.95,,0.93,0.01
nz_nz_EFD_DCAMF08,0.94,0.93,0.95,,,0.01
nz_nz_EFD_DCAMH07,0.91,0.97,0.92,,0.88,0.01
nz_nz_EFH_HCAMB01,0.89,0.72,0.90,,,0.01
nz_nz_EFH_HCAME04,0.68,0.86,0.69,0.57,0.67,0.01
nz_nz_PS1_CAM6803,0.92,0.96,0.93,,,0.01
serengeti_serengeti_B09,0.89,0.83,0.90,,,0.01
serengeti_serengeti_E12,0.86,0.78,0.87,,,0.01
serengeti_serengeti_F12,0.83,0.79,0.84,,,0.01
serengeti_serengeti_G01,0.85,0.85,0.86,,,0.01
serengeti_serengeti_I04,0.83,0.88,0.84,,,0.01
serengeti_serengeti_I08,0.86,0.85,0.87,,,0.01
serengeti_serengeti_J10,0.81,0.83,0.82,0.56,,0.01
serengeti_serengeti_M03,0.86,0.85,0.87,,,0.01
APN_APN_13U,0.94,0.62,0.96,0.63,0.98,0.02
APN_APN_6U,0.96,0.95,0.98,,,0.02
APN_APN_K013,0.95,0.97,0.97,,,0.02
APN_APN_K023,0.93,0.86,0.95,0.65,0.93,0.02
APN_APN_U23A,0.97,0.94,0.99,,,0.02
APN_APN_U43B,0.96,0.91,0.98,,0.97,0.02
APN_APN_U63C,0.94,0.90,0.96,,,0.02
APN_APN_WS6,0.97,0.91,0.99,,,0.02
caltech_caltech_100,0.94,0.94,0.96,,0.93,0.02
caltech_caltech_120,0.96,0.90,0.98,,,0.02
caltech_caltech_43,0.96,0.89,0.98,,,0.02
CDB_CDB_A05,0.92,0.83,0.94,0.83,0.88,0.02
ENO_ENO_B05,0.90,0.94,0.92,,,0.02
ENO_ENO_C05,0.85,0.94,0.87,,0.90,0.02
idaho_idaho_117,0.93,0.89,0.95,,,0.02
idaho_idaho_85,0.96,0.86,0.98,0.76,0.96,0.02
idaho_idaho_87,0.91,0.90,0.93,,,0.02
MAD_MAD_I04,0.85,0.90,0.87,,,0.02
MTZ_MTZ_D06,0.95,0.77,0.97,,0.96,0.02
MTZ_MTZ_F04,0.98,0.82,1.00,,0.99,0.02
na_na_archbold_FL-15,0.94,0.93,0.96,,,0.02
na_na_lebec_CA-04,0.93,0.92,0.95,,,0.02
na_na_lebec_CA-09,0.95,0.93,0.97,,,0.02
na_na_lebec_CA-14,0.96,0.94,0.98,,,0.02
na_na_lebec_CA-24,0.96,0.94,0.98,,,0.02
na_na_lebec_CA-41,0.94,0.97,0.96,,,0.02
nz_nz_EFD_DCAMA05,0.97,0.95,0.99,,,0.02
nz_nz_EFD_DCAMC02,0.93,0.90,0.95,,,0.02
nz_nz_EFD_DCAMD10,0.93,0.96,0.95,,,0.02
nz_nz_EFD_DCAME06,0.83,0.88,0.85,0.70,,0.02
nz_nz_EFD_DCAME07,0.88,0.91,0.90,,,0.02
nz_nz_EFD_DCAMH04,0.88,0.96,0.90,,,0.02
nz_nz_EFH_HCAMG07,0.92,0.85,0.94,,,0.02
nz_nz_EFH_HCAMG08,0.95,0.93,0.97,,,0.02
nz_nz_EFH_HCAMG10,0.89,0.87,0.91,,,0.02
nz_nz_EFH_HCAMJ02,0.95,0.98,0.97,,,0.02
orinoquia_orinoquia_M00,0.81,1.00,0.83,0.62,0.72,0.02
RUA_RUA_M7,0.96,0.77,0.98,0.59,0.96,0.02
serengeti_serengeti_C11,0.81,0.84,0.83,0.66,,0.02
serengeti_serengeti_C12,0.83,0.81,0.85,,,0.02
serengeti_serengeti_F08,0.77,0.80,0.79,0.65,,0.02
serengeti_serengeti_F13,0.87,0.74,0.89,0.67,0.90,0.02
serengeti_serengeti_G13,0.86,0.94,0.88,,0.80,0.02
serengeti_serengeti_K05,0.92,0.91,0.94,,,0.02
serengeti_serengeti_K11,0.80,0.84,0.82,0.60,0.76,0.02
serengeti_serengeti_N02,0.77,0.82,0.79,,,0.02
serengeti_serengeti_P07,0.83,0.81,0.85,,,0.02
serengeti_serengeti_S08,0.84,0.86,0.86,0.73,,0.02
serengeti_serengeti_U13,0.82,0.74,0.84,,,0.02
APN_APN_K011,0.96,0.87,0.99,,0.98,0.03
APN_APN_K021,0.89,0.90,0.92,,,0.03
APN_APN_K064,0.92,0.96,0.95,,,0.03
APN_APN_TB14,0.94,0.94,0.97,,,0.03
APN_APN_WB4,0.90,0.89,0.93,,,0.03
caltech_caltech_38,0.92,0.92,0.95,,0.95,0.03
CDB_CDB_C06,0.89,0.92,0.92,,,0.03
CDB_CDB_D03,0.94,0.83,0.97,0.89,0.96,0.03
idaho_idaho_98,0.93,0.93,0.96,,,0.03
KAR_KAR_C01,0.83,0.86,0.86,0.76,0.83,0.03
KGA_KGA_KHOGB04,0.93,0.90,0.96,,,0.03
MAD_MAD_G04,0.84,0.80,0.87,,,0.03
MAD_MAD_G05,0.84,0.80,0.87,,,0.03
MAD_MAD_H08,0.87,0.81,0.90,0.75,0.88,0.03
MAD_MAD_MAD01,0.77,0.58,0.80,,,0.03
MTZ_MTZ_E05,0.94,0.82,0.97,0.73,0.95,0.03
na_na_archbold_FL-43,0.92,0.86,0.95,,,0.03
na_na_archbold_FL-44,0.91,0.86,0.94,,,0.03
na_na_lebec_CA-06,0.93,0.94,0.96,,,0.03
nz_nz_EFD_DCAMA10,0.85,0.92,0.88,,,0.03
nz_nz_EFD_DCAMC03,0.89,0.98,0.92,,0.86,0.03
nz_nz_EFD_DCAMC08,0.87,0.87,0.90,,,0.03
nz_nz_EFD_DCAMH01,0.95,0.94,0.98,,,0.03
nz_nz_EFH_HCAMD09,0.73,0.90,0.76,0.79,,0.03
nz_nz_EFH_HCAMG13,0.92,0.88,0.95,,,0.03
nz_nz_HLO_Moto2,0.95,0.99,0.98,,0.99,0.03
nz_nz_PS1_CAM8306,0.96,0.94,0.99,,,0.03
PLN_PLN_C02,0.85,0.85,0.88,,,0.03
serengeti_serengeti_B04,0.86,0.88,0.89,,,0.03
serengeti_serengeti_B12,0.86,0.83,0.89,,,0.03
serengeti_serengeti_D05,0.85,0.86,0.88,,,0.03
serengeti_serengeti_D07,0.88,0.89,0.91,,,0.03
serengeti_serengeti_D13,0.82,0.88,0.85,0.75,,0.03
serengeti_serengeti_G10,0.79,0.82,0.82,,,0.03
serengeti_serengeti_I06,0.81,0.90,0.84,0.74,,0.03
serengeti_serengeti_J01,0.88,0.85,0.91,,,0.03
serengeti_serengeti_J08,0.85,0.90,0.88,,0.86,0.03
serengeti_serengeti_K10,0.95,0.91,0.98,0.72,0.95,0.03
serengeti_serengeti_L04,0.85,0.85,0.88,,0.78,0.03
serengeti_serengeti_N09,0.81,0.88,0.84,,,0.03
serengeti_serengeti_P03,0.82,0.76,0.85,,,0.03
serengeti_serengeti_Q11,0.85,0.87,0.88,,0.86,0.03
serengeti_serengeti_R10,0.85,0.81,0.88,,0.84,0.03
serengeti_serengeti_T09,0.85,0.83,0.88,,,0.03
APN_APN_TB12,0.94,0.93,0.98,,,0.04
caltech_caltech_76,0.79,0.92,0.83,,,0.04
caltech_caltech_88,0.86,0.94,0.90,0.76,0.94,0.04
CDB_CDB_A06,0.86,0.93,0.90,,,0.04
ENO_ENO_C06,0.88,0.87,0.92,,,0.04
ENO_ENO_D01,0.91,0.70,0.95,,,0.04
idaho_idaho_122,0.88,0.90,0.92,,0.87,0.04
idaho_idaho_84,0.91,0.90,0.95,,,0.04
idaho_idaho_89,0.95,0.86,0.99,,,0.04
KAR_KAR_D01,0.90,0.77,0.94,,,0.04
KGA_KGA_KHOGB06,0.85,0.92,0.89,,,0.04
KRU_KRU_49,0.92,0.81,0.96,,,0.04
MAD_MAD_A03,0.87,0.92,0.91,,,0.04
MAD_MAD_A04,0.91,0.80,0.95,,0.93,0.04
MAD_MAD_A06,0.90,0.94,0.94,,,0.04
MAD_MAD_G08,0.91,0.75,0.95,0.87,0.91,0.04
MAD_MAD_I06,0.90,0.80,0.94,,,0.04
na_na_archbold_FL-41,0.87,0.81,0.91,,,0.04
na_na_lebec_CA-02,0.94,0.64,0.98,,,0.04
na_na_lebec_CA-18,0.87,0.96,0.91,,,0.04
na_na_lebec_CA-19,0.92,0.94,0.96,0.77,0.90,0.04
na_na_lebec_CA-21,0.92,0.90,0.96,,,0.04
na_na_lebec_CA-31,0.95,0.95,0.99,,,0.04
na_na_lebec_CA-32,0.93,0.92,0.97,,,0.04
na_na_lebec_CA-36,0.93,0.87,0.97,0.80,0.94,0.04
nz_nz_EFD_DCAMA06,0.92,0.89,0.96,,,0.04
nz_nz_EFD_DCAMA07,0.91,0.91,0.95,,,0.04
nz_nz_EFD_DCAMA11,0.88,0.95,0.92,,,0.04
nz_nz_EFD_DCAMB06,0.95,0.91,0.99,,,0.04
nz_nz_EFD_DCAMB07,0.89,0.90,0.93,,,0.04
nz_nz_EFD_DCAMD03,0.92,0.85,0.96,,,0.04
nz_nz_EFD_DCAMD04,0.88,0.92,0.92,,,0.04
nz_nz_EFD_DCAMF03,0.90,0.88,0.94,,0.92,0.04
